1,Julian,Siatka,828223683,juliansiatka@onet.pl,Ultimate,233101
2,Tymon,Buszkiewicz,069601377,tymonbuszkiewicz@interia.pl,Ultimate,61371
3,Karina,Roś,160231488,karinaroś@yahoo.com,Professional,215880
4,Karol,Marcol,469824688,karolmarcol@interia.pl,Professional,495433
5,Marcelina,Gamrat,899504259,marcelinagamrat@o2.pl,Professional,264302
6,Wiktor,Kinal,226926214,wiktorkinal@gmail.com,Basic,496938
7,Angelika,Maciuszek,354294678,angelikamaciuszek@o2.pl,Ultimate,160983
8,Alex,Kastelik,853740246,alexkastelik@gmail.com,Basic,177683
9,Monika,Kopiczko,311681469,monikakopiczko@yahoo.com,Ultimate,472003
10,Krzysztof,Noculak,031145569,krzysztofnoculak@yahoo.com,Basic,469200
11,Agnieszka,Sojda,620859467,agnieszkasojda@interia.pl,Basic,358865
12,Alan,Kacperczyk,934939230,alankacperczyk@o2.pl,Complete,315806
13,Tymoteusz,Drewa,438936771,tymoteuszdrewa@hotmail.com,Basic,112632
14,Rozalia,Świgoń,110721277,rozaliaświgoń@gmail.com,Ultimate,263725
15,Tymoteusz,Szkoda,062717802,tymoteuszszkoda@gmail.com,Complete,434881
16,Patryk,Hankiewicz,800145645,patrykhankiewicz@gmail.com,Complete,176332
17,Kajetan,Szlufik,613766757,kajetanszlufik@o2.pl,Ultimate,31548
18,Janina,Lempart,031789150,janinalempart@yahoo.com,Basic,312552
19,Adrianna,Lamch,794283582,adriannalamch@interia.pl,Ultimate,327373
20,Kamil,Ładziak,888175788,kamilładziak@interia.pl,Basic,84877
21,Roksana,Domińczak,952551110,roksanadomińczak@yahoo.com,Ultimate,337542
22,Michał,Kucewicz,872906607,michałkucewicz@onet.pl,Basic,337699
23,Elżbieta,Nieradko,908712821,elżbietanieradko@hotmail.com,Professional,358603
24,Natan,Różak,294916637,natanróżak@o2.pl,Complete,17308
25,Melania,Boryczko,567191323,melaniaboryczko@o2.pl,Complete,225396
26,Ida,Jędruszczak,222523300,idajędruszczak@gmail.com,Complete,410518
27,Artur,Oszust,333299535,arturoszust@hotmail.com,Basic,405800
28,Janina,Błażejewicz,397652832,janinabłażejewicz@o2.pl,Complete,135472
29,Wiktor,Szyba,951417576,wiktorszyba@hotmail.com,Basic,138577
30,Róża,Sieg,875925372,różasieg@yahoo.com,Basic,448419
31,Alex,Wołkowicz,108229296,alexwołkowicz@gmail.com,Basic,384428
32,Angelika,Krzeszowiec,394341748,angelikakrzeszowiec@onet.pl,Ultimate,466518
33,Norbert,Achtelik,473486631,norbertachtelik@interia.pl,Basic,182231
34,Artur,Kiepura,293203780,arturkiepura@gmail.com,Ultimate,375442
35,Liwia,Woda,690968883,liwiawoda@yahoo.com,Professional,458962
36,Lidia,Calik,775257385,lidiacalik@yahoo.com,Professional,396542
37,Karol,Kinal,804588526,karolkinal@hotmail.com,Complete,83367
38,Aleks,Latacz,676183903,alekslatacz@o2.pl,Professional,50529
39,Emil,Żuberek,110520417,emilżuberek@interia.pl,Complete,322953
40,Ida,Pielach,988598260,idapielach@yahoo.com,Professional,384466
41,Aleksander,Sąsiadek,373877186,aleksandersąsiadek@hotmail.com,Complete,288526
42,Emil,Bortkiewicz,720416980,emilbortkiewicz@yahoo.com,Ultimate,40576
43,Oskar,Mućko,996058506,oskarmućko@interia.pl,Complete,318492
44,Inga,Klejna,171846803,ingaklejna@onet.pl,Basic,377059
45,Daniel,Pompa,390568864,danielpompa@interia.pl,Complete,254875
46,Kaja,Niechciał,492639009,kajaniechciał@interia.pl,Complete,372114
47,Marek,Flisiak,579135457,marekflisiak@o2.pl,Basic,416960
48,Maks,Gołofit,306946430,maksgołofit@hotmail.com,Professional,279554
49,Ignacy,Lenik,195477042,ignacylenik@o2.pl,Complete,453914
50,Janina,Gajcy,020900197,janinagajcy@onet.pl,Complete,16960
51,Gustaw,Zgoła,804686600,gustawzgoła@o2.pl,Professional,367988
