1,Julian,Siatka,828223683,juliansiatka@onet.pl,Ultimate,233101
2,Tymon,Buszkiewicz,069601377,tymonbuszkiewicz@interia.pl,Ultimate,61371
7,Angelika,Maciuszek,354294678,angelikamaciuszek@o2.pl,Ultimate,160983
9,Monika,Kopiczko,311681469,monikakopiczko@yahoo.com,Ultimate,472003
14,Rozalia,Świgoń,110721277,rozaliaświgoń@gmail.com,Ultimate,263725
17,Kajetan,Szlufik,613766757,kajetanszlufik@o2.pl,Ultimate,31548
19,Adrianna,Lamch,794283582,adriannalamch@interia.pl,Ultimate,327373
21,Roksana,Domińczak,952551110,roksanadomińczak@yahoo.com,Ultimate,337542
32,Angelika,Krzeszowiec,394341748,angelikakrzeszowiec@onet.pl,Ultimate,466518
34,Artur,Kiepura,293203780,arturkiepura@gmail.com,Ultimate,375442
42,Emil,Bortkiewicz,720416980,emilbortkiewicz@yahoo.com,Ultimate,40576
57,Tymon,Kocaj,803777988,tymonkocaj@hotmail.com,Ultimate,453211
58,Sonia,Rurka,096090397,soniarurka@o2.pl,Ultimate,196509
63,Franciszek,Kleinschmidt,484119915,franciszekkleinschmidt@o2.pl,Ultimate,295308
66,Cezary,Daraż,203338177,cezarydaraż@onet.pl,Ultimate,122842
70,Alex,Zastawny,632296212,alexzastawny@gmail.com,Ultimate,199374
74,Jakub,Nikel,346755197,jakubnikel@interia.pl,Ultimate,431079
75,Marianna,Lisak,487227069,mariannalisak@yahoo.com,Ultimate,155921
77,Kajetan,Bubak,540770379,kajetanbubak@onet.pl,Ultimate,24649
84,Kornelia,Bartoszczyk,869538814,korneliabartoszczyk@interia.pl,Ultimate,263342
85,Krystyna,Sadłocha,981119923,krystynasadłocha@o2.pl,Ultimate,410133
87,Ewelina,Kudlak,532869381,ewelinakudlak@hotmail.com,Ultimate,144808
88,Klara,Burdach,186893609,klaraburdach@hotmail.com,Ultimate,360030
93,Józef,Chabior,533715020,józefchabior@yahoo.com,Ultimate,390200
96,Leon,Nojek,474486711,leonnojek@hotmail.com,Ultimate,261088
99,Kacper,Gaudyn,181450795,kacpergaudyn@o2.pl,Ultimate,395917
103,Ewelina,Małas,159011723,ewelinamałas@yahoo.com,Ultimate,253565
104,Alex,Klyszcz,995362932,alexklyszcz@onet.pl,Ultimate,92669
105,Julianna,Gros,937664544,juliannagros@onet.pl,Ultimate,282802
107,Ksawery,Herdzik,652850200,ksaweryherdzik@onet.pl,Ultimate,449259
114,Liwia,Dudała,806197962,liwiadudała@hotmail.com,Ultimate,467153
119,Ada,Kałwa,464585874,adakałwa@hotmail.com,Ultimate,486631
125,Franciszek,Huber,857839239,franciszekhuber@interia.pl,Ultimate,175170
129,Leon,Nowotnik,463333091,leonnowotnik@onet.pl,Ultimate,219842
138,Nikodem,Hnat,311111605,nikodemhnat@hotmail.com,Ultimate,191392
158,Ksawery,Sornat,789995238,ksawerysornat@interia.pl,Ultimate,352400
166,Tadeusz,Meissner,648053257,tadeuszmeissner@onet.pl,Ultimate,299459
167,Ernest,Stein,328427585,erneststein@hotmail.com,Ultimate,369297
183,Kazimierz,Sacharczuk,039726523,kazimierzsacharczuk@onet.pl,Ultimate,130586
186,Elżbieta,Osial,693561732,elżbietaosial@yahoo.com,Ultimate,350429
192,Dorota,Palonek,689928397,dorotapalonek@hotmail.com,Ultimate,330637
194,Apolonia,Aleksandrzak,012807091,apoloniaaleksandrzak@o2.pl,Ultimate,425536
196,Tadeusz,Wojtarowicz,587414236,tadeuszwojtarowicz@interia.pl,Ultimate,6157
197,Józef,Korda,481408363,józefkorda@o2.pl,Ultimate,484768
200,Melania,Gregorowicz,050071827,melaniagregorowicz@yahoo.com,Ultimate,431016
205,Stefan,Szyca,236016220,stefanszyca@o2.pl,Ultimate,497220
210,Artur,Kamyk,326005221,arturkamyk@hotmail.com,Ultimate,94979
216,Julianna,Bzymek,262856494,juliannabzymek@hotmail.com,Ultimate,325515
